uid,variant,temp,model,modality,file,strict,strict_reason,rescued,rescued_reason,schema_status
faa67d8f,0,0.5,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/faa67d8f_v0_t0_5.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
9652a31e,0,0.5,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/9652a31e_v0_t0_5.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
27910ee5,1,0.0,gemini-2.0-flash,TEXT,gemini/gemini-2.0-flash/27910ee5_v1_t0_0.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
8fc9d168,0,0.5,gemini-2.0-flash,TEXT,gemini/gemini-2.0-flash/8fc9d168_v0_t0_5.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
936aa3e5,0,0.5,gemini-2.0-flash,TEXT,gemini/gemini-2.0-flash/936aa3e5_v0_t0_5.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
f260aa25,1,0.0,gemini-2.0-flash,TEXT,gemini/gemini-2.0-flash/f260aa25_v1_t0_0.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
9652a31e,2,0.5,gemini-2.0-flash,TEXT,gemini/gemini-2.0-flash/9652a31e_v2_t0_5.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
07080553,0,0.0,gemini-2.0-flash,TEXT,gemini/gemini-2.0-flash/07080553_v0_t0_0.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
25c9f684,0,0.5,gemini-2.0-flash,TEXT,gemini/gemini-2.0-flash/25c9f684_v0_t0_5.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
2bc72355,0,0.5,gemini-2.0-flash,TEXT,gemini/gemini-2.0-flash/2bc72355_v0_t0_5.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
9652a31e,0,0.0,gemini-2.0-flash,TEXT,gemini/gemini-2.0-flash/9652a31e_v0_t0_0.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
25c9f684,2,0.0,gemini-2.0-flash,TEXT,gemini/gemini-2.0-flash/25c9f684_v2_t0_0.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
07080553,2,0.5,gemini-2.0-flash,TEXT,gemini/gemini-2.0-flash/07080553_v2_t0_5.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
7e365caf,0,0.0,gemini-2.0-flash,TEXT,gemini/gemini-2.0-flash/7e365caf_v0_t0_0.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
8fc9d168,1,0.5,gemini-2.0-flash,TEXT,gemini/gemini-2.0-flash/8fc9d168_v1_t0_5.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
faa67d8f,0,0.5,gemini-2.0-flash,TEXT,gemini/gemini-2.0-flash/faa67d8f_v0_t0_5.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
27910ee5,0,0.0,gemini-2.0-flash,TEXT,gemini/gemini-2.0-flash/27910ee5_v0_t0_0.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
1b64c419,2,0.5,gemini-2.0-flash,TEXT,gemini/gemini-2.0-flash/1b64c419_v2_t0_5.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
9cebf902,0,0.0,gemini-2.0-flash,TEXT,gemini/gemini-2.0-flash/9cebf902_v0_t0_0.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
dc35566b,2,0.0,gemini-2.0-flash,TEXT,gemini/gemini-2.0-flash/dc35566b_v2_t0_0.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
dc35566b,0,0.5,gemini-2.0-flash,TEXT,gemini/gemini-2.0-flash/dc35566b_v0_t0_5.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
1b64c419,0,0.0,gemini-2.0-flash,TEXT,gemini/gemini-2.0-flash/1b64c419_v0_t0_0.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
a79efa23,0,0.0,gemini-2.0-flash,TEXT,gemini/gemini-2.0-flash/a79efa23_v0_t0_0.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
27910ee5,2,0.5,gemini-2.0-flash,TEXT,gemini/gemini-2.0-flash/27910ee5_v2_t0_5.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
f6d74921,0,0.5,gemini-2.0-flash,TEXT,gemini/gemini-2.0-flash/f6d74921_v0_t0_5.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
b4ec494d,0,0.5,gemini-2.0-flash,TEXT,gemini/gemini-2.0-flash/b4ec494d_v0_t0_5.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
f260aa25,2,0.5,gemini-2.0-flash,TEXT,gemini/gemini-2.0-flash/f260aa25_v2_t0_5.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
2bc72355,0,0.0,gemini-2.0-flash,TEXT,gemini/gemini-2.0-flash/2bc72355_v0_t0_0.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
9652a31e,0,0.5,gemini-2.0-flash,TEXT,gemini/gemini-2.0-flash/9652a31e_v0_t0_5.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
25c9f684,2,0.5,gemini-2.0-flash,TEXT,gemini/gemini-2.0-flash/25c9f684_v2_t0_5.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
7e365caf,0,0.5,gemini-2.0-flash,TEXT,gemini/gemini-2.0-flash/7e365caf_v0_t0_5.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
27910ee5,1,0.5,gemini-2.0-flash,TEXT,gemini/gemini-2.0-flash/27910ee5_v1_t0_5.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
8fc9d168,0,0.0,gemini-2.0-flash,TEXT,gemini/gemini-2.0-flash/8fc9d168_v0_t0_0.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
936aa3e5,0,0.0,gemini-2.0-flash,TEXT,gemini/gemini-2.0-flash/936aa3e5_v0_t0_0.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
f260aa25,1,0.5,gemini-2.0-flash,TEXT,gemini/gemini-2.0-flash/f260aa25_v1_t0_5.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
07080553,0,0.5,gemini-2.0-flash,TEXT,gemini/gemini-2.0-flash/07080553_v0_t0_5.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
25c9f684,0,0.0,gemini-2.0-flash,TEXT,gemini/gemini-2.0-flash/25c9f684_v0_t0_0.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
dc35566b,0,0.0,gemini-2.0-flash,TEXT,gemini/gemini-2.0-flash/dc35566b_v0_t0_0.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
1b64c419,0,0.5,gemini-2.0-flash,TEXT,gemini/gemini-2.0-flash/1b64c419_v0_t0_5.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
a79efa23,0,0.5,gemini-2.0-flash,TEXT,gemini/gemini-2.0-flash/a79efa23_v0_t0_5.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
27910ee5,2,0.0,gemini-2.0-flash,TEXT,gemini/gemini-2.0-flash/27910ee5_v2_t0_0.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
9652a31e,1,0.5,gemini-2.0-flash,TEXT,gemini/gemini-2.0-flash/9652a31e_v1_t0_5.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
b4ec494d,0,0.0,gemini-2.0-flash,TEXT,gemini/gemini-2.0-flash/b4ec494d_v0_t0_0.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
f260aa25,2,0.0,gemini-2.0-flash,TEXT,gemini/gemini-2.0-flash/f260aa25_v2_t0_0.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
8fc9d168,1,0.0,gemini-2.0-flash,TEXT,gemini/gemini-2.0-flash/8fc9d168_v1_t0_0.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
faa67d8f,0,0.0,gemini-2.0-flash,TEXT,gemini/gemini-2.0-flash/faa67d8f_v0_t0_0.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
27910ee5,0,0.5,gemini-2.0-flash,TEXT,gemini/gemini-2.0-flash/27910ee5_v0_t0_5.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
1b64c419,2,0.0,gemini-2.0-flash,TEXT,gemini/gemini-2.0-flash/1b64c419_v2_t0_0.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
9cebf902,0,0.5,gemini-2.0-flash,TEXT,gemini/gemini-2.0-flash/9cebf902_v0_t0_5.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
dc35566b,2,0.5,gemini-2.0-flash,TEXT,gemini/gemini-2.0-flash/dc35566b_v2_t0_5.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
f260aa25,0,0.5,gemini-2.0-flash,TEXT,gemini/gemini-2.0-flash/f260aa25_v0_t0_5.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
27910ee5,1,0.0,llama3-8b-8192,TEXT,groq_batch_rate_limited/llama3-8b-8192/27910ee5_v1_t0_0.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
8fc9d168,0,0.5,llama3-8b-8192,TEXT,groq_batch_rate_limited/llama3-8b-8192/8fc9d168_v0_t0_5.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
936aa3e5,0,0.5,llama3-8b-8192,TEXT,groq_batch_rate_limited/llama3-8b-8192/936aa3e5_v0_t0_5.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
07080553,0,0.0,llama3-8b-8192,TEXT,groq_batch_rate_limited/llama3-8b-8192/07080553_v0_t0_0.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
25c9f684,0,0.5,llama3-8b-8192,TEXT,groq_batch_rate_limited/llama3-8b-8192/25c9f684_v0_t0_5.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
2bc72355,0,0.5,llama3-8b-8192,TEXT,groq_batch_rate_limited/llama3-8b-8192/2bc72355_v0_t0_5.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
9652a31e,0,0.0,llama3-8b-8192,TEXT,groq_batch_rate_limited/llama3-8b-8192/9652a31e_v0_t0_0.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
f6d74921,1,0.5,llama3-8b-8192,TEXT,groq_batch_rate_limited/llama3-8b-8192/f6d74921_v1_t0_5.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
0c07452f,0,0.0,llama3-8b-8192,TEXT,groq_batch_rate_limited/llama3-8b-8192/0c07452f_v0_t0_0.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
7e365caf,0,0.0,llama3-8b-8192,TEXT,groq_batch_rate_limited/llama3-8b-8192/7e365caf_v0_t0_0.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
faa67d8f,0,0.5,llama3-8b-8192,TEXT,groq_batch_rate_limited/llama3-8b-8192/faa67d8f_v0_t0_5.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
1b64c419,2,0.5,llama3-8b-8192,TEXT,groq_batch_rate_limited/llama3-8b-8192/1b64c419_v2_t0_5.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
9cebf902,0,0.0,llama3-8b-8192,TEXT,groq_batch_rate_limited/llama3-8b-8192/9cebf902_v0_t0_0.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
f260aa25,0,0.0,llama3-8b-8192,TEXT,groq_batch_rate_limited/llama3-8b-8192/f260aa25_v0_t0_0.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
1b64c419,0,0.0,llama3-8b-8192,TEXT,groq_batch_rate_limited/llama3-8b-8192/1b64c419_v0_t0_0.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
a79efa23,0,0.0,llama3-8b-8192,TEXT,groq_batch_rate_limited/llama3-8b-8192/a79efa23_v0_t0_0.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
b4ec494d,0,0.5,llama3-8b-8192,TEXT,groq_batch_rate_limited/llama3-8b-8192/b4ec494d_v0_t0_5.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
9652a31e,0,0.5,llama3-8b-8192,TEXT,groq_batch_rate_limited/llama3-8b-8192/9652a31e_v0_t0_5.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
f6d74921,1,0.0,llama3-8b-8192,TEXT,groq_batch_rate_limited/llama3-8b-8192/f6d74921_v1_t0_0.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
7e365caf,0,0.5,llama3-8b-8192,TEXT,groq_batch_rate_limited/llama3-8b-8192/7e365caf_v0_t0_5.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
8fc9d168,0,0.0,llama3-8b-8192,TEXT,groq_batch_rate_limited/llama3-8b-8192/8fc9d168_v0_t0_0.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
9cebf902,1,0.5,llama3-8b-8192,TEXT,groq_batch_rate_limited/llama3-8b-8192/9cebf902_v1_t0_5.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
25c9f684,0,0.0,llama3-8b-8192,TEXT,groq_batch_rate_limited/llama3-8b-8192/25c9f684_v0_t0_0.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
0c07452f,2,0.0,llama3-8b-8192,TEXT,groq_batch_rate_limited/llama3-8b-8192/0c07452f_v2_t0_0.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
dc35566b,0,0.0,llama3-8b-8192,TEXT,groq_batch_rate_limited/llama3-8b-8192/dc35566b_v0_t0_0.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
1b64c419,0,0.5,llama3-8b-8192,TEXT,groq_batch_rate_limited/llama3-8b-8192/1b64c419_v0_t0_5.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
a79efa23,0,0.5,llama3-8b-8192,TEXT,groq_batch_rate_limited/llama3-8b-8192/a79efa23_v0_t0_5.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
27910ee5,2,0.0,llama3-8b-8192,TEXT,groq_batch_rate_limited/llama3-8b-8192/27910ee5_v2_t0_0.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
f6d74921,0,0.0,llama3-8b-8192,TEXT,groq_batch_rate_limited/llama3-8b-8192/f6d74921_v0_t0_0.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
b4ec494d,0,0.0,llama3-8b-8192,TEXT,groq_batch_rate_limited/llama3-8b-8192/b4ec494d_v0_t0_0.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
936aa3e5,1,0.0,llama3-8b-8192,TEXT,groq_batch_rate_limited/llama3-8b-8192/936aa3e5_v1_t0_0.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
faa67d8f,0,0.0,llama3-8b-8192,TEXT,groq_batch_rate_limited/llama3-8b-8192/faa67d8f_v0_t0_0.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
27910ee5,0,0.5,llama3-8b-8192,TEXT,groq_batch_rate_limited/llama3-8b-8192/27910ee5_v0_t0_5.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
9cebf902,0,0.5,llama3-8b-8192,TEXT,groq_batch_rate_limited/llama3-8b-8192/9cebf902_v0_t0_5.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
f260aa25,0,0.5,llama3-8b-8192,TEXT,groq_batch_rate_limited/llama3-8b-8192/f260aa25_v0_t0_5.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
07080553,1,0.5,llama3-8b-8192,TEXT,groq_batch_rate_limited/llama3-8b-8192/07080553_v1_t0_5.json,0.0,empty or missing block (strict),0.0,empty or missing block (rescued),fail
